ID,Country,State,Municipality,Study_location,Latitude,Longitude,Precision,Reserve_Area,Altitude,Altitude1km,Annual_mean_temperature,Annual_rainfall,Olsong200r,Olsoneconame,ribeirovegtype,BSRs,uc,protectedtype,Year_start,Year_finish,Duration,Nights,hours_per_night,number_of_mistnets,effort_straube_bianconi,Method,References,Voucher_Specimens,Anoura_caudifer,Anoura_geoffroyi,Artibeus_cinereus,Artibeus_fimbriatus,Artibeus_gnomus,Artibeus_lituratus,Artibeus_obscurus,Artibeus_planirostris,Artibeus_sp,Carollia_brevicauda,Carollia_perspicillata,Carollia_sp,Centronycteris_maximiliani,Chiroderma_doriae,Chiroderma_villosum,Chrotopterus_auritus,Cynomops_abrasus,Cynomops_planirostris,Desmodus_rotundus,Diaemus_youngii,Diphylla_ecaudata,Dryadonycteris_capixaba,Eptesicus_brasiliensis,Eptesicus_diminutus,Eptesicus_furinalis,Eptesicus_taddeii,Eumops_auripendulus,Eumops_glaucinus,Eumops_patagonicus,Eumops_perotis,Furipterus_horrens,Glossophaga_soricina,Glyphonycteris_daviesi,Glyphonycteris_sylvestris,Histiotus_montanus,Histiotus_velatus,Lampronycteris_brachyotis,Lasiurus_blossevillii,Lasiurus_cinereus,Lasiurus_ega,Lichonycteris_degener,Lonchophylla_bokermanni,Lonchophylla_mordax,Lonchophylla_peracchii,Lonchophylla_sp,Lonchorhina_aurita,Lophostoma_brasiliense,Lophostoma_silvicolum,Macrophyllum_macrophyllum,Micronycteris_hirsuta,Micronycteris_megalotis,Micronycteris_microtis,Micronycteris_minuta,Micronycteris_schmidtorum,Micronycteris_sp,Mimon_bennettii,Mimon_crenulatum,Molossops_neglectus,Molossops_temminckii,Molossus_molossus,Molossus_rufus,Molossus_sp,Myotis_albescens,Myotis_dinellii,Myotis_izecksohni,Myotis_lavali,Myotis_levis,Myotis_nigricans,Myotis_riparius,Myotis_ruber,Natalus_macrourus,Noctilio_albiventris,Noctilio_leporinus,Nyctinomops_laticaudatus,Nyctinomops_macrotis,Peropteryx_cf_kappleri,Peropteryx_leucoptera,Peropteryx_macrotis,Phylloderma_stenops,Phyllostomus_discolor,Phyllostomus_elongatus,Phyllostomus_hastatus,Platyrrhinus_incarum,Platyrrhinus_lineatus,Platyrrhinus_recifinus,Promops_nasutus,Pygoderma_bilabiatum,Rhinophylla_pumilio,Rhogeessa_io,Rhynchonycteris_naso,Saccopteryx_bilineata,Saccopteryx_leptura,Sturnira_lilium,Sturnira_tildae,Tadarida_brasiliensis,Thyroptera_tricolor,Tonatia_bidens,Tonatia_saurophila,Trachops_cirrhosus,Trinycteris_nicefori,Uroderma_bilobatum,Uroderma_magnirostrum,Vampyressa_pusilla,Vampyrodes_caraccioli,Count,BioClim1,BioClim2,BioClim3,BioClim4,BioClim5,BioClim6,BioClim7,BioClim8,BioClim9,BioClim10,BioClim11,BioClim12,BioClim13,BioClim14,BioClim15,BioClim16,BioClim17,BioClim18,BioClim19
bat1001,Brazil,SAO_PAULO,CANANEIA,Parque_Estadual_da_Ilha_do_Cardoso,-25.08685287,-47.92796182,Not_Precise,15100,16,16,22.6,2487,Atlantic_Forests,Serra_do_Mar_coastal_forests,Dense_Ombrophilous_Forest,Serra_do_Mar,1,Park,2008,2008,6_months,21,6,5,8424,mist nets,"Alves,_L._D._A._2008._Estrutura_da_comunidade_de_morcegos_(Mammalia:_Chiroptera)_do_Parque_Estadual_da_Ilha_do_Cardoso,_São_Paulo,_SP._Dissertação_de_Mestrado._Universidade_Federal_de_Mato_Grosso_do_Sul.","Coleção_Zoológica_de_Referência,_Universidade_Federal_de_Mato_Grosso_do_Sul_(ZUFMS),_Campo_Grande,_MS,_Brazil",13,12,24,33,0,34,104,0,1,0,71,0,0,4,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,18,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,34,28,0,0,22,0,4,0,0,0,2,0,23,21.127,7.452,47.48917,287.1709,28.74,13.048,15.692,24.66133,17.66333,24.66133,17.66333,2242,325,82,43.89578,915,295,915,295
bat1002,Brazil,SANTA_CATARINA,BLUMENAU,Parque_Natural_Municipal_Nascentes_do_Garcia,-27.06,-49.08,Not_Precise,5296.16,460,398,18.5,1651,Atlantic_Forests,Serra_do_Mar_coastal_forests,Dense_Ombrophilous_Forest,Serra_do_Mar,1,Park,2007,NA,27_months,6,6,8,208008,mist_nets,"Althoff,_S._L._2007._A_Comunidade_de_quirópteros,_sua_biologia_e_ecologia_no_Parque_Natural_Municipal_Nascentes_do_Garcia,_Estado_de_Santa_Catarina,_Brasil._Universidade_Federal_do_Rio_Grande_do_Sul.","Coleção_Sergio_Luis_Althoff_(SLA),_Fundação_Universidade_Regional_de_Blumenau,_Blumenau,_SC,_Brazil",97,7,0,274,0,708,22,22,0,0,171,0,0,16,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,313,0,0,0,0,0,466,50,0,0,0,0,0,0,0,0,21,0,15,17.752,9.176,51.21679,311.7531,26.52,8.604,17.916,21.56333,14.388,21.56333,13.92867,1685,203,93,25.62126,566,300,566,319
bat1003,Brazil,RIO_GRANDE_DO_NORTE,NISIA_FLORESTA,Nisia_Floresta_National_Forest,-6.086251,-35.184929,Precise,174.95,64,60,25.6,1329,Atlantic_Forests,Atlantic_Coast_restingas,NA,Pernambuco,1,Protected_Forest,2011,NA,NA,25,11,8,79200,mist_nets,"Barros,_M._A._S.,_C._M._G._Morais,_B._M._B._Figueiredo,_G._B._de_Moura-Júnior,_F._F._S._Ribeiro,_D._M._A._Pessoa,_F._Ito,_and_E._Bernard._2017._Bats_(Mammalia,_Chiroptera)_from_the_Nísia_Floresta_National_Forest,_with_new_records_for_the_state_of_Rio_Grande_do_Norte,_northeastern_Brazil._Biota_Neotropica_17:e20170351.",Not_located,0,0,29,0,0,11,0,685,0,0,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,1,0,0,147,0,11,0,41,0,1,0,0,0,0,0,0,34,0,0,0,0,0,1,0,0,0,0,0,16,25.88267,8.811334,74.97732,112.7863,31.74,19.988,11.752,25.59333,26.46333,27.03067,24.31467,1382,226,16,71.32859,642,60,343,510
bat1009,Brazil,MATO_GROSSO_DO_SUL,PORTO_MURTINHO,Serra_da_Bodoquena,-21.18916715,-56.7164496,Not_Precise,76481,544,544,22.6,1355,Cerrado_Woodlands_and_Savannas,Cerrado,Deciduous_Forest,Interior_Forests,1,Park,2009,2009,5_months,7,6,5,9610,mist_nets,"Camargo,_G.,_E._Fischer,_F._Gonçalves,_G._Fernandes,_and_S._Ferreira._2009._Morcegos_do_Parque_Nacional_da_Serra_da_Bodoquena,_Mato_Grosso_do_Sul,_Brasil._Chiroptera_Neotropical_15:417–424.","Coleção_Zoológica_de_Referência,_Universidade_Federal_de_Mato_Grosso_do_Sul_(ZUFMS),_Campo_Grande,_MS,_Brazil",0,0,0,0,0,24,0,98,0,0,50,0,0,0,0,4,3,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,1,0,12,22.40333,11.70067,62.34371,259.7944,30.712,11.944,18.768,24.96467,18.98533,25.08533,18.98533,1320,179,40,42.92127,499,142,488,142
bat1010,Brazil,SAO_PAULO,BOTUCATU,Fazenda_Experimental_Edgardia,-22.80323607,-48.39966688,Not_Precise,3,570,570,20.4,1287,Cerrado_Woodlands_and_Savannas,Cerrado,Savana,Interior_Forests,1,Unknown_Protected,2008,NA,13_months,10,6,8,43949,mist_nets,"de_Carvalho,_M._C._2008._Frugivoria_por_morcegos_em_floresta_estacional_semidecídua:_dieta,_riqueza_de_espécies_e_germinação_de_semente_apos_a_passagem_pelo_sistema_digestivo._UNESP.","Departamento_de_Zoologia,_Instituto_de_Biociências,_Universidade_Estadual_Paulista_(UNESP),_Botucatu,_SP,_Brazil",5,0,0,0,0,21,0,2,0,0,83,0,0,0,0,2,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,7,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,10,20.7485,11.57567,63.29652,242.0658,28.94,10.652,18.288,23.41667,17.66,23.41667,17.66,1261,224,27,66.88138,613,102,613,102
bat1012,Brazil,RIO_DE_JANEIRO,DUQUE_DE_CAXIAS,Reserva_Biologica_Tingua,-22.57,-43.38,Not_Precise,26260,242,200,21.9,2135,Atlantic_Forests,Serra_do_Mar_coastal_forests,Dense_Ombrophilous_Forest,Serra_do_Mar,1,Biological_Reserve,2008,2010,less_than_3_years,12,4_to_6,5_to_8,NA,mist_nets,"Dias,_D.,_and_A._L._Peracchi._2008._Quirópteros_da_Reserva_Biológica_do_Tinguá,_estado_do_Rio_de_Janeiro,_sudeste_do_Brasil_(Mammalia:_Chiroptera)._Revista_Brasileira_de_Zoologia_25:333–369.","Coleção_Adriano_Lúcio_Peracchi_(ALP),_Universidade_Federal_Rural_do_Rio_de_Janeiro,_Seropédica,_RJ,_Brazil",31,6,5,75,0,55,31,0,0,0,176,0,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,10,0,0,0,0,0,75,0,0,0,4,0,0,0,0,0,8,0,19,20.55733,10.29,59.38366,228.0956,28.876,11.548,17.328,23.232,17.774,23.41067,17.774,1830,273,50,55.29301,777,171,745,171
bat1013,Brazil,RIO_DE_JANEIRO,RIO_DE_JANEIRO,Parque_Estatual_da_Pedra_Branca,-22.967,-43.4583,Not_Precise,11556.65,234,347,21.4,1503,Atlantic_Forests,Serra_do_Mar_coastal_forests,Dense_Ombrophilous_Forest,Serra_do_Mar,1,Park,2002,NA,more_than_4_years,19,4_to_6,5_to_8,NA,mist nets,"Dias,_D.,_A._L._Peracchi,_and_S._S._P._da_Silva._2002._Quirópteros_do_Parque_Estadual_da_Pedra_Branca,_Rio_de_Janeiro,_Brasil_(Mammalia,_Chiroptera)._Revista_Brasileira_de_Zoologia_19:113–140.","Coleção_Adriano_Lúcio_Peracchi_(ALP),_Universidade_Federal_Rural_do_Rio_de_Janeiro,_Seropédica,_RJ,_Brazil",11,0,0,139,0,265,20,0,0,0,101,0,0,5,0,3,0,0,41,0,4,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,2,0,0,0,0,0,0,0,27,0,0,0,2,0,0,0,0,0,7,0,20,22.69517,10.459,61.81442,208.7816,31.06,14.14,16.92,25.39467,20.29533,25.39467,20.29533,1306,178,46,47.61402,519,152,519,152
bat1014,Brazil,PARANA,LONDRINA,Mata_dos_Godoy,-23.45,-51.25,Not_Precise,39,633,603,20.5,1502,Atlantic_Forests,Alto_Parana_Atlantic_forests,Semideciduous_Forest,Interior_Forests,1,Unknown_Protected,2003,NA,20_years,NA,NA,NA,NA,mist_nets,"Reis,_N._R._Dos,_M._L._D._S._Barbieri,_I._P._de_Lima,_and_A._L._Peracchi._2003._O_que_é_melhor_para_manter_a_riqueza_de_espécies_de_morcegos_(Mammalia,_Chiroptera):_um_fragmento_florestal_grande_ou_vários_fragmentos_de_pequeno_tamanho?_Revista_Brasileira_de_Zoologia_20:225–230.",Not_located,12,0,0,21,0,353,0,30,0,0,332,0,0,1,0,36,0,0,23,1,1,0,12,5,7,0,0,0,0,0,0,3,0,0,0,12,0,8,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,103,0,14,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,19,0,1,0,0,0,156,0,0,0,0,0,0,0,0,0,2,0,26,20.19283,12.521,64.48805,262.1821,28.976,9.56,19.416,23.05733,16.858,23.05733,16.72733,1556,207,58,36.25371,582,227,582,277
bat1015,Brazil,SAO_PAULO,TEODORO_SAMPAIO,Morro_do_Diabo,-22.57602378,-52.23934254,Not_Precise,33845.33,402,369,22.1,1194,Atlantic_Forests,Alto_Parana_Atlantic_forests,Semideciduous_Forest,Interior_Forests,1,Park,1996,NA,21_months,8,3,NA,NA,mist_nets,"Reis,_N._R._R.,_A._L._Peracchi,_M._F._Muller,_E._A._Bastos,_and_E._S._Soares._1996._Quiropteros_do_parque_estadual_morro_do_diabo,_São_Paulo,_Brasil_(Mammalia,_Chiroptera)._Revista_Brasileira_de_Biologia_56:87–92.",Not_located,0,0,0,0,0,143,7,19,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,10,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,1,0,10,21.7675,11.53767,63.21317,254.2432,29.828,11.576,18.252,24.44067,19.76933,24.44067,18.26933,1178,163,40,43.36632,437,142,437,196
bat1017,Brazil,BAHIA,SALVADOR,Mata_do_Cascao,-12.962229,-38.454389,Not_Precise,200,NA,62,24.9,1753,Atlantic_Forests,Bahia_coastal_forests,Dense_Ombrophilous_Forest,Bahia,1,Unknown_Protected,2007,2007,July_to_October,12,4.5,3,4698,mist_nets,"Evangelista,_T._H._C._S._2009._Diversidade_De_Morcegos_(Mammalia,_Chiroptera)_No_Fragmento_Urbano_Da_Mata_Do_Cascão_-_19_Bc,_Salvador,_Bahia._Pages_1–3Anais_do_IX_Congresso_de_Ecologia_do_Brasil.","Laboratório_de_Diversidade_do_Semiárido,_Universidade_Estadual_do_Sudoeste_da_Bahia_(UESB),_Vitória_da_Conquista,_BA,_Brazil",0,0,0,0,0,53,0,3,0,0,61,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,10,25.34167,6.403509,67.44273,113.5826,30.0421,20.54737,9.494736,25.16404,26.47105,26.62105,23.87193,1982,311,81,48.56308,864,295,340,443
